,Japanese,Lao,phonetic alphabet,English
,心配,ຢ້ານ ,yaan2, be afraid
,心配,ອຸກໃຈ ,uk jay, be saddened
,神父shimpu,ບາດຫລວງ ,baat hluang, reverend
,新聞,ຫນັງສືພິມ ,hnang seu phim, newspaper
,進歩,ກ້າວຫນ້າ ,kaaw2 hnaa2, progress
,ジンマシン,ເປັນຕຸ່ມ ,pen tum1, pimply
,深夜shin-ya,ກາງຄືນ ,kaang kheun, midnight
,深夜,ເດິກ ,doek, midnight
,深夜shin-ya,ທ່ຽງຄືນ ,thiang1 kheun, midnight
,親友,ຫມູ່ສະນິດ ,hmuu1 sa nit, friend
,信用,ເຊື່ອ ,xeua1, trust
,信頼,ເຊື່ອໃຈ ,xeua1 jay, believe
,信頼,ໄວ້ວາງໃຈ ,wai2 waang jay, believe
,森林shinrin,ປ່າໄມ້ ,pa1 mai2, forest
,親類shinrui,ພີ່ນ້ອງ ,phii1 nohng2, relative
,酢,ນ້ຳສົ້ມ ,nam2 som2, vinegar
,図,ການແຕ້ມ ,kaan taem2, drawing
,水泳,ການລອຍນ້ຳ ,kaan lohy nam2, swimming
,すいかsuika,ຫມາກໂມ ,hmaak moo, watermelon
,水牛suigyuu,ຄວາຍ ,khwaay, buffalo
,炊事,ເຮັດອາຫານ ,het aa haan, cook
,水準,ມາດຕະຖານ ,maat ta htaan, level
,スイス,ສະວິດເຊີແລນ ,sa wit xer laen, Switzerland
,推薦,ແນະນຳ ,ne' nam, introduce
,垂直,ທາງຕັ້ງ ,thaang tang2, vertical
,スイッチ,ເປີດກົງຕັກ ,pert kong tak, switch on
,スイッチ,ມອດກົງຕັກ ,moht kong tak, switch off 
,スイッチsui¿chi,ກົງຕັກ ,kong tak, switch
,水筒suitoo,ຕິກນ້ຳ ,tik nam2, water bottle
,水道水,ນ້ຳປະປາ ,nam2 pa paa, water supply
,炊飯器,ຫມໍ້ຫຸງເຂົ້າ ,hmoh2 hhung hkao2, rice pot
,随分,ພໍສົມຄວນ ,phoh som khuan, very
,水平,ແນວນອນ ,naew nohn, horizontal
,水曜日sui,ວັນພຸດ ,wan phut, Wednesday 
,吸う,ສູບ ,suup, smoke
,吸う,ດູດ ,duut, suck
,数字,ໂຕເລກ ,too leek, number 
,スーツsuutsu,ເສື້ອສູດ ,seua2 suut, suit
,スーツケース,ກະເປົາເດີນທາງ ,ka pao dern thaang, suit case
,スーツケース,ຫິບເຄື່ອງ ,hhip kheuang1, suitcase
,スーパーsuupaa,ຮ້ານຊັບພະສິນຄ້າ ,haan2 xap pha sin khaa2, super market
,スーパーマーケットsuupaa,ຊຸບເປີ້ມາເກັດ ,xup per2 maa ket, supermarket
,スープ,ແກງ ,kaeng, soup
,数量suuryoo,ຈຳນວນ ,jam nuan, number
,末,ຫລ້າ ,hlaa2, youngest
,末っ子sue¿ko,ລູກຫລ້າ ,luuk hlaa2, youngest child
,スカートskaato,ກະໂປ່ງ ,ka poong1, skirt
,姿sugata,ຮູບຮ່າງ ,huup haang1, figure
,好き,ມັກ ,mak, like
,（～）過ぎ(～),ຜ່ານມາ ,hpaan1 maa, after ~
,スキー,ສະກີ ,sa kii, ski
,透き通る,ເບິ່ງຊອດ ,boeng1 xoht, be transparent
,過ぎる,ຜ່ານ ,hpaan1, pass
,（～）すぎる,ໂພດ ,phoot, too
,すぐ,ທັນທີທັນໃດ ,than thii than day, immediately
,好く,ມັກ ,mak, like
,救う,ຊ່ວຍ ,xuay1, help
,救うsukuu,ຊ່ວຍເຫລືອ ,xuay1 hleua, help
,少ないsukunai,ຫນ້ອຍ ,hnohy2, little
,すぐに,ດຽວນີ້ ,diaw nii2, immediately
,すぐにsugu,ບຶດດຽວ ,buet diaw , soon
,図形,ຮູບ ,huup, figure
,スケッチ,ວາດພາບ ,waat phaap, sketch
,すけべ,ມືໄວ ,meu wai, bawdy
,図工,ງານສິນລະປະ ,ngaan siin la pa , drawing & handcraft
,少し,ຫນ້ອຍຫນຶ່ງ ,hnohy2 hnueng1, little
,少し,ຫນ້ອຍຫນຶ່ງ ,hnohy2 hneung1, little
,少しsukoshi,ນ້ອຍຫນຶ່ງ ,nohy2 hnueng1, little
,過ごすsugosu,ໃຊ້ເວລາ ,xay2 wee laa, spend a time
,鈴,ກະດິ່ງ ,ka ding1, bell
,涼しい,ເຢັນສະບາຍ ,yen sa baay, cool
,進む,ໄປທາງຫນ້າ ,pai thaang hnaa2, go forward
,雀suzume,ນົກກະຈິບ ,nok ka piit, sparrow
,進めるsusumeru,ຍ້າຍໄປຂ້າງຫນ້າ ,nyaay2 pai hkaang2 hnaa2, move (n) forward
,勧めるsusumeru,ແນະນຳ ,ne' nam, suggest
,スター,ດາລາ ,daa laa, star
,頭痛,ເຈັບຫົວ ,jep hhua, head ache
,すっかり,ບໍ່ມີບ່ອນຜິດ ,boh1 mii bohn1 hpit, perfectly
,ずっとzu¿to,ຕະຫລອດ ,ta hloht, forever
,酸っぱい,ສົ້ມ ,som2, sour
,ステーキsuteeki,ສະເຕັກ ,sa tek, steak
,すでに,ແລ້ວ ,laew2, already
,捨てる,ຖິ້ມ ,htim2, throw away
,ステンレス,ສະແຕນເລັດ ,sa taen let, stainless
,ストッキング,ຖົງຕີນຍາວ ,htong tiin nyaaw, stocking
,ストッキングsuto¿kingu,ບາ ,baa, stocking
,ストロー,ຫລອດດູດ ,hloht duut, drinking straw
,砂,ຂີ້ຊາຍ ,hkii2 xaay, sand
,素直,ຄວາມສຸພາບອ່ອນໂຍນ ,khwaam sa phaap ohn1 nyoon, gentleness
,砂場,ກໍ່ປະສາດຊາຍ ,koh1 pa saat xaay, sand box
,すなわちsunawachi,ເຊັ່ນ ,xen1, namely
,スニーカー,ເກີບກິລາ ,kerp ki laa, sport shoe
,スパゲッティ,ສະປະເກັດຕີ້ ,sa pa ket tii2, spaghetti
,素晴らしい,ດີຫລາຍ ,dii hlaay, very good
,スピード,ຄວາມໄວ ,khwaam wai, speed
,スプーンspuun,ບ່ວງ ,buang1, spoon
,スペインsupein,ສະເປນ ,sa peen, Spain
,すべてsubete,ທັງຫມົດ ,thang hmot, everything
,滑るsuberu,ພະລາດ ,pha laat, slide
,滑る,ມື່ນ ,meun1, slide
,スポーツ,ກິລາ ,ki laa, sport
,スポーツ選手,ນັກກິລາ ,nak ki laa, athlete
,ズボン,ສົ້ງ ,song2, pants
,炭,ຖ່ານ ,htaan1, charcoal
,隅,ມຸມໃນ ,mum nay, corner 
,住み心地が良い,ເປັນຕາຢູ່ ,pen taa yuu1, livable
,すみません,ຂໍໂທດ ,hkoh thoot, excuse me
,済む,ຈົບ ,jop, finish
,住む,ຢູ່ ,yuu1, live
,住むsumu,ອາໃສຢູ່ ,aa say yuu1, live
,相撲,ຫລີ້ນຊູໂມ້ ,hlin2 xuu moo2, play sumo
,スラム,ຊຸມຊົນແອອັດ ,xun xon ae at, slum
,スリ,ຂີ້ລັກ ,hkii2 lak, pick pocket
,（～が）する,ຮູ້ສຶກ ,huu2 suek, feel
,（～）する,ເຮັດ ,het, do
,（～を）する,ເຮັດ ,het," do, make"
,（～を～に）する,ເຮັດ~ໃຫ້~ ,het hhay2, make (n) (n)
,鋭い,ຄົມ ,khom, sharp
,鋭いsurudoi,ແຫລມ ,hlaem, sharp
,する,ຢ່າເຮັດ ,yaa1 het, don't (v)
,スルメ,ປາມຶກແຫ້ງ ,paa muek hhaeng2, dried squid
,座る,ນັ່ງ ,nang1, sit
,すんなり,ລຽບງ່າຍ ,liap ngaay1, without problem
,寸法,ວັດແທກ ,wat thaek, measure
,性,ເພດ ,peet, gender
,誠意,ຈິງໃຈ ,jing jay, sincere
,西欧,ຢູໂລບ ,yuu loop, Europe
,正確,ຖືກຕ້ອງ ,hteuk tohng2, correct
,性格,ນິໃສ ,ni say," character, personality"
,性格seikaku,ບຸກຄະລິກ ,buk kha lik," character, personality"
,性格seikaku,ລັກຊະນະ ,lak xa na," character, personality"
,生活,ການດຳລົງຊີວິດ ,kaan dam long xii wit, living
,生活,ຄວາມເປັນຢູ່ ,khwaam pen yuu1, being
,生活,ດຳລົງຊີວິດ ,dam long xii wit, live
,生活費,ຄ່າຄອງຊີບ ,khaa1 khohng xiip, living cost
,世紀seiki,ສັດຕະວັດ ,sat ta wat, century
,正義,ຄວາມເປັນທຳ ,khwaam pen tham, justice
,請求,ຮຽກຮ້ອງ ,hiak hohng2, require
,請求書,ໃບເບີກຈ່າຍ ,bay berk jaay1, payment order
,税金,ພາສີ ,phaa sii," tax,"
,清潔,ສະອາດ ,sa aat, clean
,制限,ຈຳກັດ ,jam kat, limit
,成功,ສຳເລັດ ,sam let, complete
,性交,ເພດສຳພັນ ,pheet sam phan, intercourse
,生産,ຜະລິດ ,hpa lit, produce 
,政治seiji,ການເມືອງ ,kaan meuang, politic
,政治家,ນັກການເມືອງ ,nak kaan meuang, politician
,性質seishitsu,ລັກຊະນະ ,lak xa na, character 
,聖書seisho,ຄຳພີ ,kham phii, bible
,政情不安,ສະພາບການເມືອງບໍ່ແນ່ນອນ ,sa phaap kaan meuang boh1 nae1 nohn, unstable political situation
,精神,ຈິດໃຈ ,jit jay, psychology
,精神科,ຈິດຕະແພດ ,jit ta phaet, psychologist
,精神病seishim,ໂລກຈິດ ,look jit, psychosis 
,成績seiseki,ຄະແນນ ,kha naen, score
,成績seiseki,ຜົນງານ ,hpon ngaan, result
,清掃,ອະນາໄມ ,a naa mai , clean
,製造,ຜະລິດ ,hpa lit, produce
,製造業,ອຸດສະຫະກຳ ,ut sa hha kam, industry
,贅沢,ຟຸ້ມເຟືອຍ ,fum2 feuay, luxury
,成長,ເຕີບໃຫຍ່ ,terp hyay1, grow
,生徒,ນັກຮຽນ ,nak hian, pupil
,制度,ລະບົບ ,la bop, system
,青年,ຊາວຫນຸ່ມ ,xaaw hnum1, teenager
,青年,ບ່າວ ,baaw1, youth 
,生年月日,ວັນເດືອນປີເກີດ ,wan deuan pii kert, date of birth
,性病,ກຳມະໂລກ ,kam ma look, gonorrhea
,政府seifu,ລັດຖະບານ ,lat hta baan, government
,制服,ເຄື່ອງແບບ ,kheuang1 baep, suit
,正方形,ຮູບຈັດຕຸລັດ ,huup jat tu lat, square
,生命,ຊີວິດ ,xii wit, life
,西洋,ຢູໂລບ ,yu loop, Europe
,西洋人,ຄົນຢູໂລບ ,khon yu loop, European
,性欲,ກາມະຕັນຫາ ,kaa ma tan hhaa, sexual desire
,整理,ວາງໃຫ້ເປັນລະບຽບ ,waang hhay2 pen la biap, put in order
,生理,ປະຈຳເດືອນ ,pa jam deuan, menstruation
,生理用品,ຜ້າອະນາໄມ ,hpaa2 a naa mai, sanitary items
,精霊,ຜີ ,hpii, ghost
,西暦,ຄິດສັກກະຫລາດ ,khit sak ka hlaat, A.D.
,セールスマンseerusu,ພະນັກງານຂາຍ ,pha nak ngaan hkaay, salesman
,背負う,ແບກ ,baek, carry on shoulder
,世界,ໂລກ ,look, world
,席,ບ່ອນນັ່ງ ,bohn1 nang1, seet
,咳,ໄອ ,ai, cough
,席替え,ປ່ຽນບ່ອນນັ່ງ ,pian1 bohn1 nang1, change seat
,責任,ຮັບຜິດຊອບ ,hap hpit xohp, responsible
,責任者,ເຈົ້າຫນ້າທີ່ ,jao2 hnaa2 thii1, authorities
,赤面,ອາຍ ,aay, shame
,赤面,ເຮັດໃຫ້ຫນ້າແດງ ,het hhaay2 hnaa2 daeng, shame
,石油sekiyu,ນ້ຳມັນ ,nam2 man, oil
,赤痢,ໂລກທ້ອງບິດ ,look thohng2 bit, dysentery
,セクシー,ແຊັກຊີ້ ,xe'k xii2, sexy
,世間seken,ສັງຄົມ ,sang khom," the world, society"
,積極的,ເຮັດຢ່າງຈິງໃຈ ,het yaang1 jing jay, do sincerely
,石鹸,ສະບູ ,sa buu, soap 
,接続,ການເຊື່ອມຕໍ່ ,kaan xeuam1 toh1, connect
,接続,ການຕິດຕໍ່ ,kaan tit toh1, connect
,絶対,ເດັດຂາດ ,det hkaat, absolutely
,接着剤se¿chasku,ກາວ ,kaaw, glue
,セット,ຊຸດ ,xut, suit
,設備setsubi,ອຸປະກອນ ,u pa kohn, equipment
,説明,ອະທິບາຍ ,a thi baay, explain
,節約,ປະຫຍັດ ,pa hyat, economize 
,設立,ສ້າງຂື້ນ ,saang2 hkeun2, build up
,背中,ຫລັງ ,hlang, back
,狭い,ແຄບ ,khaep, narrow
,蝉,ຈັກຈັ່ນ ,jak jan1, cicada
,台詞serifu,ຄຳເວົ້າຂອງບົດລະຄອນ ,kham wao2 hkohng bot la khohn, line
,（～）せる(～),ໃຫ້ຄືນ ,hhay2 kheun, let (n) (v)
,ゼロ,ສູນ ,suun, zero 
,セロテープ,ສະກັອດໃສ ,sa ko't say, white scotch
,セロテープ,ເທັບໃສ ,thep say, white scotch
,世話,ດູແລ ,duu lae, take care
,世話,ລ້ຽງ ,liang2, take care
,線,ສາຍ ,saay, line
,線,ເສັ້ນ ,sen2, line
,千,ຫນຶ່ງພັນ ,hnueng1 phan, thousand
,善,ຄວາມດີ ,khwaam dii, goodness
,全員zen-in,ທຸກຄົນ ,thuk khon, every body
,洗顔,ລ້າງຫນ້າ ,laang2 hnaa2, wash face
,選挙,ເລືອກຕັ້ງ ,leuak tang2, elect
,先月,ເດືອນທີ່ແລ້ວ ,deuan thii1 laew2, last month
,先月,ເດືອນແລ້ວ ,deuan laew2, last month
,専攻,ວິຊາເອກ ,wi xaa eek, main subject
,線香,ທູບ ,thuup, incense stick
,潜在,ແຝງຢູ່ ,hfaeng yuu1, latency
,洗剤senzai,ສະບູຝຸ່ນ ,sa buu fun1, soap powder
,洗剤,ແຟັບ ,fe'p, soap powder
,先日,ມື້ກ່ອນນັ້ນ ,meu2 kohn1 nan2, day before
,戦車sensha,ລົດຊາດ ,lot xaat, tank
,選手senshu,ນັກກິລາ ,nak ki laa, sport man
,先週,ອາທິດແລ້ວ ,aa thit laew2, last week
,扇子,ວີ ,wii, fan
,先生,ຄູ ,khuu, teacher
,先生sensei,ຄູສອນ ,khuu sohn, teacher
,先生sensei,ອາຈານ ,aa jaan, teacher
,全然（～ない）zenzen,ຈັກດີ້ ,jak dii2, (not) at all
,先祖,ບັນພະບູລຸດ ,ban pha buu lut, ancestor
,戦争,ສົງຄາມ ,song khaam, war
,全体zentai,ທັງຫມົດ ,thang hmot, entire
,洗濯,ຊັກເຄື່ອງ ,xak kheuang1, wash the cloth
,先端sentan,ສິ້ນສຸດ ,sin2 sut, the end
,先端,ປາຍ ,paay, the end
,（～）センチ,ຊັງຕີແມັດ ,xang tii me't, ~ centimeter
,宣伝,ໂຄສະນາ ,khoo sa naa, advertise
,全部zembu,ທັງຫມົດ ,thang hmot, all
,専門,ວິສະວະກອນ ,wi sa wa kohn, specialty
,専門家,ຜູ້ຊ່ຽວຊານ ,hpuu2 xiaw1 xaan, expert
,専門学校,ວິທະຍາໄລ ,wi tha nyaa lay, college
,（～）沿い,ແຄມ ,khaem, along ~
,（～）そう,ເບິ່ງຄືວ່າ ,boeng1 kheu waa1, looks like (a)
,（～）そう,ຈະ ,ja, going to (v)
,そう,ເຊັ່ນນັ້ນ ,xen1 nan2, so
,象,ຊ້າງ ,xaang2, elephant
,雑巾,ຜ້າເຊັດພື້ນ ,paa2 xet pheun2, rag
,倉庫,ສາງ ,saang, store house
,操作,ບັນຊາເຄື່ອງຈັກ ,ban xaa kheuang1 jak, operate
,掃除,ທຳຄວາມສະອາດ ,tham khwaam sa aat, cleaning
,掃除,ອະນາໄມ ,a naa mai, clean up
,葬式sooshiki,ເຮືອນດີ ,heuan dii, funeral
,想像,ຈິນຕະນາການ ,jin ta naa kaan, imagine
,（～）そうだ,ເບິ່ງຄືວ່າ ,boeng1 kheu waa1, It seems that
,早退,ເລີກເຊົ້າ ,lerk xao2, leave early
,相談,ປຶກສາ ,peuk saa, consult
,そうです,ແມ່ນແລ້ວ ,maen laew2, it is
,そうですかsoo,ຊັ້ນບໍ ,xan2 boh, so that
,遭難,ຫລົງທາງ ,hlong thaang, meet with a disaster
,素麺soomen,ເຂົ້າປຸ້ນ ,hkao2 pun2, kind of noodle
,僧侶sooryo,ເຈົ້າຫົວ ,jao2 hhua, monk
,僧侶souryo,ພະສົງ ,pha song, monk
,送料sooryoo,ຄ່າສົ່ງ ,khaa1 song1, delivery cost
,添える,ຕິດຄັດ ,tit khat, attach
,ソースsoosu,ນ້ຳຈີ້ມ ,nam2 jiim2, sauce
,速達,ຈົດຫມາຍດ່ວນ ,jot hmaay duan1, express delivery
,底,ພື້ນ ,pheun2, bottom
,そこ,ພຸ້ນ ,phun2, over there
,そこ,ຫັ້ນ ,hhan2, there
,組織,ອົງການຈັດຕັ້ງ ,ong kaan jat tang2, organization
,そして,ຈຶ່ງ ,jueng1, then
,そして,ແລະ ,le', and
,そしてsoshite,ແລ້ວກໍ່ ,laew2 koh1, then
,育つsodatsu,ເຕີບໂຕ ,terp too, grow
,育てるsodateru,ລ້ຽງ ,liang2, feed
,卒業,ຮຽນຈົບ ,hian jop, graduate
,外soto,ຂ້າງນອກ ,hkaang2 nohk, outside
,外,ນອກ ,nohk, outside
,供えるsonaeru,ບູຊາ ,buu xaa, lay offering
,その（～）,ນັ້ນ ,nan2, that
,その他いろいろ,ອື່ນໆ ,eun1 #, etc
,その通り,ແມ່ນຄວາມ ,maen1 khwaam, that's right
,そのよう,ແນວນັ້ນ ,naew nan2, that way
,側,ຂ້າງ ,hkaang2, beside
,祖父,ປູ່ ,puu1, grand father
,祖父,ພໍ່ເຖົ້າ ,phoh1 htao2, grand father
,ソファ,ໂຊຟາ ,xoo faa, sofa
,ソフトドリンク,ນ້ຳຫວານ ,nam2 hhwaan, soft drink
,祖母,ຍ່າ ,nyaa1, grand mother
,祖母,ແມ່ເຖົ້າ ,mae1 htao2, grand mother
,粗末,ບໍ່ດີ ,boh1 dii, poor
,背くsomuku,ຕໍ່ຕ້ານ ,toh1 taan2, go against
,染めるsomeru,ຍ້ອມສີ ,nyohm2 sii, dye
,空,ທ້ອງຟ້າ ,thohng2 faa2, sky
,剃る,ແຖ ,htae, shave
,それ,ນັ້ນ ,nan2, that
,それ,ມັນ ,man, it
,それから,ຫລັງຈາກນັ້ນ ,hlang jaak nan2, after that
,それぞれ（の）,ແຕ່ລະ ,tae1 la, each
,それではsoredewa,ຄັນຊັ້ນ ,khan xan2, well
,それともsoretomo,ຫລື ,hleu, otherwise
,それともsoretomo,ຫລືວ່າ ,hleu waa1, otherwise
,それら,ທັງຫມົດນັ້ນ ,thang hmot nan2, all of that
,揃うsorou,ມາລວມກັນ ,maa luam kan, gather
,揃える,ວາງໃຫ້ເປັນລະບຽບ ,waang hhay2 pen la biap, put in order
,損,ເສຍຫາຍ ,seey hhaay, loose
,損害,ຄວາມເສຍຫາຍ ,khwaam seey hhaay, damage
,尊敬,ເຄົາລົບ ,khao lop, respect
,尊敬,ນັບຖື ,nap hteu, respect
,存在,ມີ ,mii, exist
,村長sonchoo,ນາຍບ້ານ ,naay baan2, head of village
,田,ທົ່ງນາ ,thong1 naa, rice field
,田,ນາ ,naa, rice field
,（～）た,ແລ້ວ(ຄຳລົງທ້າຍຂອງກິລິຍາອະດີດ) ,laew2, (makes perfect tense)
,（～）だ,ເປັນ ,pen, be
,ダース,ໂຫລ ,hloo, dozen
,タイ,ໄທ ,thai, Thai
,（～）たい,ຢາກ ,yaak, want to (v)
,台,ຖານ ,htaan, base
,体育,ຄວາມຮູ້ດ້ານກິລາ ,khwaam huu2 daan2 ki laa, physical education
,退院,ອອກໂຮງຫມໍ ,ohk hoong hmoh, discharge form hospital
,ダイエット,ລົດນ້ຳຫນັກ ,lot nam2 nak, loose weight
,対応,ຮັບຜິດຊອບ ,hap hpit xohp, correspond to
,体温,ອຸນຫະພຸມ ,un hha phum, temperature
,体温計,ບາຫລອດ ,baa hloht, thermometer
,体格,ໂຄງສ້າງ ,khoong saang2, physique
,大学,ມະຫາວິທະຍາໄລ ,ma hhaa wi tha nyaa lai, university
,大学生,ນັກສຶກສາ ,nak suek saa, student
,代金daikin,ເງີນຄ່າ ,ngern khaa1, fee
,大工daiku,ຊ່າງໄມ້ ,xaang1 mai2, carpenter
,退屈,ເບື່ອ ,beua1, bore
,退屈,ເບື່ອ ,beua1, bore
,太鼓,ກອງ ,kohng, drum
,大根,ຫົວຜັກກາດຂາວ ,hhua hpak kaat hkaaw, white radish
,大事,ສຳຄັນ ,sam khan, important 
,大使,ທູດ ,thuut, ambassador
,大使館,ສະຖານທູດ ,sa htaan thuut, embassy
,大衆,ສາທາລະນະຊົນ ,saa thaa la na xon, general public
,体重taijuu,ນ້ຳຫນັກ ,naam2 hnak, weight
,対象,ເປົ້າຫມາຍ ,pao2 hmaay, target
,大丈夫,ບໍ່ເປັນຫຍັງ ,boh1 pen hyang, never mind
,退職,ກະສຽນ ,ka sian, retirement
,耐水taisui,ທົນນ້ຳ ,thon nam2, water proof
,大切,ຄິດວ່າສຳຄັນ ,khit waa1 sam khan, think that it is important
,大切,ສຳຄັນ ,sam khan, important
,体操,ກາຍຍະກຳ ,kaay nya kam, gymnastics
,大体daitai,ເກືອບຈະ ,keuap ja , almost
,だいだい,ຫມາກກ້ຽງ ,hmaak kiang2, orange
,大抵,ສ່ວນຫລາຍ ,suan1 hlaay, most part
,態度が良い,ກິລິຍາດີ ,ki li nyaa dii, good manner
,大統領,ປະທານປະເທດ ,pa thaan pa theet, president
,台所,ຫ້ອງຄົວ ,hohng2 khua, kitchen
,台所,ເຮືອນຄົວ ,heuan khua, kitchen
,第二次世界大戦,ສົງຄາມໂລກຄັ້ງທີສອງ ,song khaam look khang2 thii sohng, world war II
,代表,ຕາງຫນ້າ ,taang hnaa2, represent
,代表的,ມີຊື່ສຽງ ,mii xeu1 siang, famous
,大分,ພໍສົມຄວນ ,phoh som khuan, very
,台風,ພະຍຸ ,hpa nyu, storm
,大変,ຫລາຍ ,hlaay, many
,大便,ຂີ້ ,hkii2, shit
,大変有難う,ຂອບອົກຂອບໃຈຫລາຍໆ ,hkohp ok hkohp jay hlaay #, thank you very much
,逮捕,ຈັບໄດ້ ,jap dai2, catch
,題名daimei,ຫົວຂໍ້ ,hhua hkoh2, title
,題名,ຫົວເລື່ອງ ,hhua leuang1, title
,ダイヤモンドdaiyamondo,ເພັດ ,phet, diamond
,太陽taiyoo,ຕາເວັນ ,taa wen, sun
,平ら,ຮາບພຽງ ,haap phiang, flat
,代理,ແທນ ,thaen, represent
,大陸tairiku,ທະວີບ ,tha wiip, continent
,対立,ປະເຊີນຫນ້າ ,pa xern hnaa2, confront
,代理人dairi,ຕົວແທນ ,tua thaen, representative
,台湾taiwan,ໄຕ້ຫວັນ ,tai2 hhwan, Taiwan
,耐える,ອົດທົນ ,ot thon, patient
,倒す,ເຮັດໃຫ້ລົ້ມ ,het hhay2 lom2, knock (n) down
,タオルtaoru,ຜ້າເຊັດ ,hpaa2 xet, towel
,倒れる,ລົ້ມ ,lom2, fall down
,高い,ສູງ ,suung, tall
,高い,ແພງ ,phaeng, expensive
,耕す,ໄຖ ,htai, plow
,耕すtagayasu,ໄຖນາ ,htai naa, plow
,（～）だから,ຍ້ອນວ່າ ,nyohn2 waa1, because ~
,（～）だから,ເນື່ອງຈາກວ່າ ,neuang1 jaak waa1, because ~
,宝くじ,ຫວຍ ,hhuay, lottery
,（～）たがる,ຢາກ ,yaak, be anxious to (v)
,炊く,ຫຸງເຂົ້າ ,hhung hkao2, steam rice
,炊くtaku,ຫນື້ງເຂົ້າ ,hneung2 hkao2, steam rice
,抱く,ກອດ ,koht, embrace
,たくさんtakusan,ຫລາຍ ,hlaay, many
,タクシーtakushii,ແທັກຊີ ,the'k xii, taxi
,タクシー乗り場,ຄິວລົດແທັກຊີ ,khiw lot the'k xii, taxi station
,竹,ໄມ້ໄຜ່ ,mai2 hpai1, bamboo
,（～）だけ(～),ເທົ່ານັ້ນ ,thao1 nan2, only
,竹の子takenoko,ຫນໍ່ໄມ້ ,hnoh1 mai2, bamboo shoot
,竹の子スープ,ແກງຫນໍ່ໄມ້ ,kaeng hnoh1 mai2, bamboo soup
,竹ひご,ດິ້ວໄມ້ໄຜ່ ,diw2 mai2 hpai1, bamboo stick
,蛸tako,ປາມຶກຍັກ ,paa muek nyak, octopus
,凧,ວ່າວ ,waaw1, kite
,確か,ແທ້ ,thae2, sure
,確か,ແນ່ໃຈ ,nae1 jay, sure
,確かめるtashikameru,ກວດ ,kuat, ascertain
,確かめる,ກວດຄົ້ນ ,kuat khon2, ascertain
,確かめるtashikameru,ຄົ້ນ ,khon2, ascertain
,足し算tashizan,ເລກບວກ ,leek buak, addition
,足す,ບວກ ,buak, plus
,出す,ອອກ ,ohk, out
,多数決tasuuketsu,ຄະແນນສຽງສ່ວນຫລາຍ ,kha naen siang suan1 hlaay, majority vote
,助けるtasukeru,ຊ່ວຍ ,xuay1, help
,助ける,ຊ່ວຍເຫລືອ ,xuay1 hleua, help
,尋ねるtazuneru,ຖາມ ,htaam, ask
,訪ねるtazuneru,ໄປຢ້ຽມ ,pai yiam2, visit
,訪ねるtazuneru,ຢາມ ,yaam, visit
,ただtada,ບໍ່ເສຍຄ່າ ,boh1 seey khaa1, free of charge
,戦う,ສູ້ ,suu2, fight
,叩く,ຕົບ ,top, clap
,正しい,ຖືກ ,hteuk, correct
,畳む,ພັບ ,phap, fold up
,立ち入り禁止,ຫ້າມເຂົ້າ ,hhaam2 hkao2, no entry
,立つ,ຢືນ ,yeun, stand
,たったta¿ta,ພຽງແຕ່ ,phiang tae1, only
,脱毛,ຫລົກຂົນ ,hlok hkon, pull out
,縦,ແນວຕັ້ງ ,naew tang2, vertical
,建物,ຕຶກ ,tuek, building
,建物,ຕຶກ ,tuek, building
,建物,ໂຮງ ,hoong, building
,建てるtateru,ກໍ່ສ້າງ ,koh1 saang2, construction
,建てるtateru,ປຸກສ້າງ ,puk saang2, construction
,例えばtatoeba,ເຊັ່ນວ່າ ,xen1 waa1, for example
,例えばtatoeba,ຕົວຢ່າງ ,tua yaang1, for instance
,棚,ຕູ້ ,tuu2, shelf
,他人tanin,ຄົນອື່ນ ,khon eun1, another
,種,ແກ່ນພືດ ,kaen1 pheut, seed
,楽しいtanoshii,ມ່ວນ ,muan1, happy
,楽しむ,ເຮັດໃຫ້ມ່ວນ ,het hhay2 muan1, make for happiness
,頼む,ຂໍ ,hkoh, ask
,頼むtanomu,ຂໍຮ້ອງ ,hkoh hohng2, ask
,タバコ,ສູບຢາ ,suup yaa, smoke
,タバコtabako,ຢາສູບ ,yaa suup, tobacco
,ダブルルーム,ຫ້ອງຄູ່ ,hhohng2 khuu1, double room
,多分,ຄືຊິ ,kheu xi, perhaps
,多分tabun,ບາງເທື່ອ ,baang theua1, maybe
,食べ物tabemono,ຂອງກິນ ,hkohng kin, food
,食べ物,ເຄື່ອງກິນ ,kheuang1 kiin, food
,食べる,ກິນ ,kin, eat
,玉tama,ຫມາກບານ ,hmaak baan, ball
,（～）玉(～),ເງີນຫລຽນ ,ngern hlian, ~ coin
,玉子,ໄຂ່ ,hkai1, egg
,騙すdamasu,ຂີ້ໂກງ ,hkii2 koong, cheat
,玉ねぎ,ຫອມບົ່ວໃຫຍ່ ,hhohm bua1 hyay1, onion
,溜まるtamaru,ໂຮມເຂົ້າ ,hoom hkao2," be collected, gather"
,黙るdamaru,ຢຸດເວົ້າ ,yut wao2, become quiet
,（～の）ため,ເພື່ອ'. ,pheua1, for ~
,だめ,ບໍ່ໄດ້ ,boh1 dai2, prohibition
,だめ,ບໍ່ມີຄວາມຫມາຍ ,boh1 mii khwaam hmaay, meaningless
,試す,ລອງ ,lohng, try
,試すtamesu,ລອງເບິ່ງ ,lohng boeng1, try to see
